Timestamp,Rede,Token,Cotação USD,Cotação BRL,Função,Gas Usado,Preço do Gas (em gwei),Custo (token),USD,BRL
2025-08-14T20:00:10.143Z,Polygon,matic-network,0.2369,1.2800,Deploy,519148,26.000000089,0.013497848046204172,0.0032,0.0173
2025-08-14T20:00:10.170Z,Ethereum,Ethereum,4548.6300,24637.0000,setNome,28132,0.573049729,0.000016121034976228,0.0733,0.3972
2025-08-14T20:00:10.171Z,BNB Chain,BNB Chain,840.8100,4554.0900,setNome,28132,0.1,0.0000028132,0.0024,0.0128
2025-08-14T20:00:10.172Z,Polygon,Polygon,0.2369,1.2800,setNome,28132,26.000000089,0.000731432002503748,0.0002,0.0009
2025-08-14T20:00:10.196Z,Ethereum,Ethereum,4548.6300,24637.0000,setPreco,26641,0.573049729,0.000015266617830289,0.0694,0.3761
2025-08-14T20:00:10.197Z,BNB Chain,BNB Chain,840.8100,4554.0900,setPreco,26641,0.1,0.0000026641,0.0022,0.0121
2025-08-14T20:00:10.198Z,Polygon,Polygon,0.2369,1.2800,setPreco,26641,26.000000089,0.000692666002371049,0.0002,0.0009
2025-08-14T21:00:08.157Z,Ethereum,ethereum,4530.0300,24535.0000,Deploy,519148,0.776945964,0.000403349943318672,1.8272,9.8962
2025-08-14T21:00:08.166Z,BNB Chain,binancecoin,833.5800,4514.7700,Deploy,519148,0.1,0.0000519148,0.0433,0.2344
2025-08-14T21:00:08.168Z,Polygon,matic-network,0.2355,1.2800,Deploy,519148,26.000000092,0.013497848047761616,0.0032,0.0173
2025-08-14T21:00:08.195Z,Ethereum,Ethereum,4530.0300,24535.0000,setNome,28132,0.776945964,0.000021857043859248,0.0990,0.5363
2025-08-14T21:00:08.196Z,BNB Chain,BNB Chain,833.5800,4514.7700,setNome,28132,0.1,0.0000028132,0.0023,0.0127
2025-08-14T21:00:08.197Z,Polygon,Polygon,0.2355,1.2800,setNome,28132,26.000000092,0.000731432002588144,0.0002,0.0009
