Timestamp,Rede,Token,Cotação USD,Cotação BRL,Preço do Gas (gwei)
2025-09-05T15:00:07.631Z,Ethereum,ethereum,"4281,1100","23150,0000","1,543682722"
2025-09-05T15:00:09.254Z,BNB Chain,binancecoin,"848,3500","4587,3700","0,1"
2025-09-05T15:00:09.976Z,Polygon,matic-network,"0,2785","1,5100","169,480496787"
2025-09-05T15:15:08.371Z,Ethereum,ethereum,"4288,3300","23214,0000","1,299238649"
2025-09-05T15:15:09.964Z,BNB Chain,binancecoin,"848,6700","4594,1300","0,1"
2025-09-05T15:15:10.629Z,Polygon,matic-network,"0,2785","1,5100","141,022011043"
2025-09-05T15:30:08.327Z,Ethereum,ethereum,"4298,5900","23238,0000","1,014710188"
2025-09-05T15:30:09.552Z,BNB Chain,binancecoin,"849,3800","4591,7300","0,1"
2025-09-05T15:30:09.796Z,Polygon,matic-network,"0,2802","1,5100","96,262135718"
2025-09-05T15:45:07.440Z,Ethereum,ethereum,"4302,2800","23246,0000","0,959375025"
2025-09-05T15:45:08.873Z,BNB Chain,binancecoin,"849,5600","4590,3400","0,1"
2025-09-05T15:45:09.442Z,Polygon,matic-network,"0,2799","1,5100","76,308272971"
2025-09-05T16:00:10.510Z,Ethereum,ethereum,"4280,3400","23120,0000","0,684909797"
2025-09-05T16:00:11.548Z,BNB Chain,binancecoin,"849,1000","4586,4000","0,1"
2025-09-05T16:00:12.319Z,Polygon,matic-network,"0,2783","1,5000","77,048212998"
2025-09-05T16:15:07.866Z,Ethereum,ethereum,"4293,3900","23174,0000","0,667820633"
2025-09-05T16:15:08.930Z,BNB Chain,binancecoin,"849,0500","4582,7500","0,1"
2025-09-05T16:15:09.632Z,Polygon,matic-network,"0,2781","1,5000","75,455396447"
2025-09-05T16:30:08.954Z,Ethereum,ethereum,"4288,6000","23152,0000","0,599214825"
2025-09-05T16:30:10.029Z,BNB Chain,binancecoin,"849,2500","4584,6000","0,1"
2025-09-05T16:30:10.317Z,Polygon,matic-network,"0,2778","1,5000","59,16563902"
2025-09-05T16:45:08.321Z,Ethereum,ethereum,"4298,1400","23215,0000","0,667085158"
2025-09-05T16:45:09.452Z,BNB Chain,binancecoin,"849,5100","4588,3500","0,1"
2025-09-05T16:45:10.085Z,Polygon,matic-network,"0,2780","1,5000","37,684932166"
2025-09-05T17:00:09.051Z,Ethereum,ethereum,"4296,3300","23203,0000","0,6255225"
2025-09-05T17:00:10.452Z,BNB Chain,binancecoin,"849,2000","4586,2000","0,1"
2025-09-05T17:00:13.024Z,Polygon,matic-network,"0,2771","1,5000","32,460418407"
2025-09-05T17:15:08.118Z,Ethereum,ethereum,"4291,4900","23180,0000","0,656475383"
2025-09-05T17:15:09.129Z,BNB Chain,binancecoin,"849,2200","4587,0900","0,1"
2025-09-05T17:15:09.853Z,Polygon,matic-network,"0,2768","1,5000","25,759969916"
2025-09-05T17:30:08.953Z,Ethereum,ethereum,"4288,1600","23159,0000","0,51526731"
2025-09-05T17:30:10.258Z,BNB Chain,binancecoin,"849,8400","4587,4100","0,1"
2025-09-05T17:30:10.927Z,Polygon,matic-network,"0,2769","1,4900","25,170723208"
2025-09-05T17:45:08.070Z,Ethereum,ethereum,"4274,9300","23087,0000","0,527039228"
2025-09-05T17:45:09.408Z,BNB Chain,binancecoin,"848,8500","4584,2200","0,1"
2025-09-05T17:45:09.662Z,Polygon,matic-network,"0,2762","1,4900","25,059602329"
2025-09-05T18:00:09.174Z,Ethereum,ethereum,"4289,4200","23173,0000","0,338881402"
