Produtos,Classificacao,Brasil Total,Sul Total,RS Total,Alegrete Total,Brasil Familiar,Sul Familiar,RS Familiar,Alegrete Familiar,Brasil Valor Vendido Total,Sul Valor Vendido Total,RS Valor Vendido Total,Alegrete Valor Vendido Total,Brasil Valor Vendido Familiar,Sul Valor Vendido Familiar,RS Valor Vendido Familiar,Alegrete Valor Vendido Familiar,Obrigatorio
Sementes de soja (produzidas para plantio),Agricultura,873,686,571,1,450,418,373,0,623410,183114,120231,,10797,2867,736,,0
Sementes de trigo (produzidas para plantio),Agricultura,258,246,229,1,154,152,147,0,22776,21824,18815,,450,435,411,,0
Sementes e outras formas de propagação de outros produtos (produzidas para plantio),Agricultura,1382,339,265,,940,217,180,0,136857,5937,3701,,9116,1263,1094,,0
Soja em grão,Agricultura,236245,196921,95482,93,164710,150641,76027,7,95526624,31310043,15659722,111516,8286096,6574313,3237223,388,0
Sorgo em grão,Agricultura,10527,252,201,6,6678,171,140,1,448085,2646,1880,7,18760,819,695,,0
Sorgo forrageiro,Agricultura,31524,2486,1485,4,22872,2118,1300,0,28234,3304,1023,,10336,2069,531,,0
Sorgo vassoura,Agricultura,1391,916,224,,1154,774,199,0,2104,1352,175,,1464,940,164,,0
Toletes de cana-de-açúcar (produzidas para plantio),Agricultura,215,41,20,,155,32,17,0,50129,7954,3,,986,15,3,,0
Tomate rasteiro (industrial),Agricultura,5427,1420,377,1,4221,1175,340,1,569802,18969,376,,103633,6263,321,,1
Trigo em grão,Agricultura,35268,33932,19716,8,22513,22180,13949,0,2230335,1893044,945290,2011,382499,372757,247812,,0
Trigo preto em grão,Agricultura,64,61,11,,30,30,6,0,5454,5190,452,,149,149,28,,0
Triticale em grão,Agricultura,222,210,156,,118,116,103,0,5485,4184,1274,,137,103,80,,0
Aguardente de cana,Agroindústria,11028,1040,591,-,8664,911,533,-,265808,20759,9307,-,114960,17133,8155,-,0
Algodão em pluma,Agroindústria,266,-,-,-,121,-,-,-,2579597,-,-,-,2165,-,-,-,0
Arroz em grão,Agroindústria,34631,217,119,-,30544,189,104,-,36316,15536,15422,-,11779,8506,8417,-,0
Café torrado e moído,Agroindústria,11318,342,6,-,8360,252,6,-,57584,5169,-,-,12485,775,-,-,0
Café torrado em grão,Agroindústria,1571,90,1,-,1131,64,1,-,49365,2278,X,-,10992,533,X,-,0
Cajuína,Agroindústria,780,-,-,-,595,-,-,-,6653,-,-,-,2716,-,-,-,0
Carne de bovinos(verde),Agroindústria,120561,112493,86007,2,103633,98028,75065,1,208041,42993,26409,X,98787,23206,13589,X,0
Carne de outros animais(verde),Agroindústria,121695,90351,67601,3,101313,77437,58344,2,126808,27169,6992,-,54712,10283,3317,X,0
Carne de suínos(verde),Agroindústria,147543,115876,88862,1,126914,102836,79591,1,94805,12529,7306,X,48882,8500,5971,X,0
"Carne tratada(de sol, salgada)",Agroindústria,3120,1275,1189,-,2456,1095,1022,-,3717,26,6,-,2766,26,6,-,0
Caroço de algodão,Agroindústria,51,-,-,-,19,-,-,-,63220,-,-,-,17,-,-,-,0
Carvão vegetal,Agroindústria,57772,1996,970,-,48570,1701,874,-,1835867,153128,29567,-,289393,102449,20547,-,0
Couros e peles,Agroindústria,10355,5075,4913,1,8646,4533,4407,1,2257,568,431,X,1584,496,397,X,0
Creme de leite,Agroindústria,2317,2099,1579,-,2084,1934,1472,-,5363,1141,189,-,1400,853,140,-,0
Doces e geléias,Agroindústria,65506,49914,43349,31,55701,43869,38383,20,109266,35890,11785,76,62607,15240,9729,66,0
"Embutidos(linguiças, salsichas, etc.)",Agroindústria,44870,43816,34901,1,39980,39193,31216,1,54811,44463,22457,X,31952,25516,12933,X,0
Farinha de mandioca,Agroindústria,355207,449,67,-,315611,366,58,-,1356149,31423,109,-,1130177,6577,13,-,0
Fubá de milho,Agroindústria,5344,282,149,-,4083,237,128,-,11834,4203,1142,-,5057,2653,730,-,0
