Produtos,Classificacao,Brasil Total,Sul Total,RS Total,Alegrete Total,Brasil Familiar,Sul Familiar,RS Familiar,Alegrete Familiar,Brasil Valor Vendido Total,Sul Valor Vendido Total,RS Valor Vendido Total,Alegrete Valor Vendido Total,Brasil Valor Vendido Familiar,Sul Valor Vendido Familiar,RS Valor Vendido Familiar,Alegrete Valor Vendido Familiar
Sementes de soja (produzidas para plantio),Agricultura,873,686,571,1,450,418,373,0,623410,183114,120231,,10797,2867,736,
Sementes de trigo (produzidas para plantio),Agricultura,258,246,229,1,154,152,147,0,22776,21824,18815,,450,435,411,
Sementes e outras formas de propagação de outros produtos (produzidas para plantio),Agricultura,1382,339,265,,940,217,180,0,136857,5937,3701,,9116,1263,1094,
Soja em grão,Agricultura,236245,196921,95482,93,164710,150641,76027,7,95526624,31310043,15659722,111516,8286096,6574313,3237223,388
Sorgo em grão,Agricultura,10527,252,201,6,6678,171,140,1,448085,2646,1880,7,18760,819,695,
Sorgo forrageiro,Agricultura,31524,2486,1485,4,22872,2118,1300,0,28234,3304,1023,,10336,2069,531,
Sorgo vassoura,Agricultura,1391,916,224,,1154,774,199,0,2104,1352,175,,1464,940,164,
Toletes de cana-de-açúcar (produzidas para plantio),Agricultura,215,41,20,,155,32,17,0,50129,7954,3,,986,15,3,
Tomate rasteiro (industrial),Agricultura,5427,1420,377,1,4221,1175,340,1,569802,18969,376,,103633,6263,321,
Trigo em grão,Agricultura,35268,33932,19716,8,22513,22180,13949,0,2230335,1893044,945290,2011,382499,372757,247812,
Trigo preto em grão,Agricultura,64,61,11,,30,30,6,0,5454,5190,452,,149,149,28,
Triticale em grão,Agricultura,222,210,156,,118,116,103,0,5485,4184,1274,,137,103,80,
